被災学校種,被災学年,学校種内順位,件数,学校種内割合（％）,全体割合（％）,学校種合計件数,全体件数
中,2,1,887,39.87,11.55,2225,7682
中,1,2,716,32.18,9.32,2225,7682
中,3,3,622,27.96,8.1,2225,7682
保,4,1,61,24.4,0.79,250,7682
保,3,2,42,16.8,0.55,250,7682
保,5,2,42,16.8,0.55,250,7682
保,2,4,39,15.6,0.51,250,7682
保,1,5,35,14.0,0.46,250,7682
保,6,6,27,10.8,0.35,250,7682
保,0,7,4,1.6,0.05,250,7682
小,6,1,385,19.94,5.01,1931,7682
小,5,2,351,18.18,4.57,1931,7682
小,4,3,311,16.11,4.05,1931,7682
小,1,4,305,15.79,3.97,1931,7682
小,2,5,296,15.33,3.85,1931,7682
小,3,6,283,14.66,3.68,1931,7682
幼,5,1,52,43.7,0.68,119,7682
幼,4,2,31,26.05,0.4,119,7682
幼,3,3,19,15.97,0.25,119,7682
幼,6,4,17,14.29,0.22,119,7682
幼連,1,1,4,30.77,0.05,13,7682
幼連,4,2,3,23.08,0.04,13,7682
幼連,2,3,2,15.38,0.03,13,7682
幼連,5,3,2,15.38,0.03,13,7682
幼連,3,5,1,7.69,0.01,13,7682
幼連,6,5,1,7.69,0.01,13,7682
特中,3,1,16,41.03,0.21,39,7682
特中,2,2,15,38.46,0.2,39,7682
特中,1,3,8,20.51,0.1,39,7682
特小,5,1,8,27.59,0.1,29,7682
特小,6,1,8,27.59,0.1,29,7682
特小,2,3,4,13.79,0.05,29,7682
特小,3,3,4,13.79,0.05,29,7682
特小,4,3,4,13.79,0.05,29,7682
特小,1,6,1,3.45,0.01,29,7682
特高,2,1,38,43.68,0.49,87,7682
特高,1,2,28,32.18,0.36,87,7682
特高,3,3,21,24.14,0.27,87,7682
高,2,1,1149,38.98,14.96,2948,7682
高,1,2,1112,37.72,14.48,2948,7682
高,3,3,683,23.17,8.89,2948,7682
高,4,4,4,0.14,0.05,2948,7682
高専,3,1,11,26.83,0.14,41,7682
高専,1,2,9,21.95,0.12,41,7682
高専,2,2,9,21.95,0.12,41,7682
高専,4,4,6,14.63,0.08,41,7682
高専,5,4,6,14.63,0.08,41,7682
