種別,被災学校種,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
せき柱障害,中,59,38.31,0.77,1,154,7682
せき柱障害,高,59,38.31,0.77,1,154,7682
せき柱障害,小,32,20.78,0.42,3,154,7682
せき柱障害,幼,1,0.65,0.01,4,154,7682
せき柱障害,幼連,1,0.65,0.01,4,154,7682
せき柱障害,特小,1,0.65,0.01,4,154,7682
せき柱障害,特高,1,0.65,0.01,4,154,7682
そしゃく機能障害,高,7,35.0,0.09,1,20,7682
そしゃく機能障害,中,5,25.0,0.07,2,20,7682
そしゃく機能障害,小,5,25.0,0.07,2,20,7682
そしゃく機能障害,特高,2,10.0,0.03,4,20,7682
そしゃく機能障害,幼,1,5.0,0.01,5,20,7682
上肢切断・機能障害,小,71,32.72,0.92,1,217,7682
上肢切断・機能障害,中,68,31.34,0.89,2,217,7682
上肢切断・機能障害,高,57,26.27,0.74,3,217,7682
上肢切断・機能障害,保,9,4.15,0.12,4,217,7682
上肢切断・機能障害,幼,5,2.3,0.07,5,217,7682
上肢切断・機能障害,特高,5,2.3,0.07,5,217,7682
上肢切断・機能障害,特中,2,0.92,0.03,7,217,7682
下肢切断・機能障害,中,54,34.18,0.7,1,158,7682
下肢切断・機能障害,高,43,27.22,0.56,2,158,7682
下肢切断・機能障害,小,37,23.42,0.48,3,158,7682
下肢切断・機能障害,特中,9,5.7,0.12,4,158,7682
下肢切断・機能障害,特高,6,3.8,0.08,5,158,7682
下肢切断・機能障害,保,4,2.53,0.05,6,158,7682
下肢切断・機能障害,特小,3,1.9,0.04,7,158,7682
下肢切断・機能障害,幼,2,1.27,0.03,8,158,7682
外貌・露出部分の醜状障害,小,825,44.81,10.74,1,1841,7682
外貌・露出部分の醜状障害,中,402,21.84,5.23,2,1841,7682
外貌・露出部分の醜状障害,高,311,16.89,4.05,3,1841,7682
外貌・露出部分の醜状障害,保,179,9.72,2.33,4,1841,7682
外貌・露出部分の醜状障害,幼,77,4.18,1.0,5,1841,7682
外貌・露出部分の醜状障害,特高,16,0.87,0.21,6,1841,7682
外貌・露出部分の醜状障害,幼連,11,0.6,0.14,7,1841,7682
外貌・露出部分の醜状障害,特小,8,0.43,0.1,8,1841,7682
外貌・露出部分の醜状障害,特中,7,0.38,0.09,9,1841,7682
外貌・露出部分の醜状障害,高専,5,0.27,0.07,10,1841,7682
手指切断・機能障害,高,203,40.36,2.64,1,503,7682
手指切断・機能障害,中,143,28.43,1.86,2,503,7682
手指切断・機能障害,小,113,22.47,1.47,3,503,7682
手指切断・機能障害,保,20,3.98,0.26,4,503,7682
手指切断・機能障害,幼,8,1.59,0.1,5,503,7682
手指切断・機能障害,特高,7,1.39,0.09,6,503,7682
手指切断・機能障害,特中,4,0.8,0.05,7,503,7682
手指切断・機能障害,高専,3,0.6,0.04,8,503,7682
手指切断・機能障害,特小,2,0.4,0.03,9,503,7682
歯牙障害,高,886,55.97,11.53,1,1583,7682
歯牙障害,中,386,24.38,5.02,2,1583,7682
歯牙障害,小,245,15.48,3.19,3,1583,7682
歯牙障害,特高,31,1.96,0.4,4,1583,7682
歯牙障害,特中,13,0.82,0.17,5,1583,7682
歯牙障害,特小,10,0.63,0.13,6,1583,7682
歯牙障害,高専,10,0.63,0.13,6,1583,7682
歯牙障害,幼,2,0.13,0.03,8,1583,7682
精神・神経障害,高,362,41.23,4.71,1,878,7682
精神・神経障害,中,307,34.97,4.0,2,878,7682
精神・神経障害,小,168,19.13,2.19,3,878,7682
精神・神経障害,保,14,1.59,0.18,4,878,7682
精神・神経障害,高専,10,1.14,0.13,5,878,7682
精神・神経障害,幼,5,0.57,0.07,6,878,7682
精神・神経障害,特高,5,0.57,0.07,6,878,7682
精神・神経障害,特小,4,0.46,0.05,8,878,7682
精神・神経障害,特中,3,0.34,0.04,9,878,7682
聴力障害,中,41,33.88,0.53,1,121,7682
聴力障害,小,36,29.75,0.47,2,121,7682
聴力障害,高,34,28.1,0.44,3,121,7682
聴力障害,保,4,3.31,0.05,4,121,7682
聴力障害,特高,3,2.48,0.04,5,121,7682
聴力障害,幼,1,0.83,0.01,6,121,7682
聴力障害,特小,1,0.83,0.01,6,121,7682
聴力障害,高専,1,0.83,0.01,6,121,7682
胸腹部臓器障害,高,242,58.88,3.15,1,411,7682
胸腹部臓器障害,中,120,29.2,1.56,2,411,7682
胸腹部臓器障害,小,37,9.0,0.48,3,411,7682
胸腹部臓器障害,特高,5,1.22,0.07,4,411,7682
胸腹部臓器障害,幼,4,0.97,0.05,5,411,7682
胸腹部臓器障害,高専,2,0.49,0.03,6,411,7682
胸腹部臓器障害,保,1,0.24,0.01,7,411,7682
視力・眼球運動障害,高,731,41.35,9.52,1,1768,7682
視力・眼球運動障害,中,634,35.86,8.25,2,1768,7682
視力・眼球運動障害,小,356,20.14,4.63,3,1768,7682
視力・眼球運動障害,保,16,0.9,0.21,4,1768,7682
視力・眼球運動障害,幼,13,0.74,0.17,5,1768,7682
視力・眼球運動障害,高専,10,0.57,0.13,6,1768,7682
視力・眼球運動障害,特高,6,0.34,0.08,7,1768,7682
視力・眼球運動障害,幼連,1,0.06,0.01,8,1768,7682
視力・眼球運動障害,特中,1,0.06,0.01,8,1768,7682
足指切断・機能障害,高,13,46.43,0.17,1,28,7682
足指切断・機能障害,中,6,21.43,0.08,2,28,7682
足指切断・機能障害,小,6,21.43,0.08,2,28,7682
足指切断・機能障害,保,3,10.71,0.04,4,28,7682
