順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,原因物:スポーツ用具,受傷部位:眼,0.257163,736,1934,1664,2862,7682
2,原因物:スポーツ用具,行動:球技,0.190746,437,1934,794,2291,7682
3,受傷部位:眼,行動:球技,0.185149,384,1664,794,2074,7682
4,受傷機転:転倒,行動:移動,0.170742,419,1982,891,2454,7682
5,原因物:乗り物,受傷機転:転倒,0.167713,374,622,1982,2230,7682
6,受傷機転:滑走,受傷部位:下肢,0.167035,151,388,667,904,7682
7,受傷機転:転倒,受傷部位:顎顔面,0.15516,436,1982,1264,2810,7682
8,受傷機転:転倒,受傷部位:下肢,0.137398,320,1982,667,2329,7682
9,受傷機転:衝突,行動:移動,0.135172,196,755,891,1450,7682
10,受傷部位:歯牙,受傷部位:顎顔面,0.130748,236,777,1264,1805,7682
11,受傷機転:転倒,衝突対象:床,0.125057,272,1982,465,2175,7682
12,行動:昇降,衝突対象:階段,0.121311,37,148,194,305,7682
13,原因物:遊具,受傷機転:転落,0.119584,69,192,454,577,7682
14,原因物:スポーツ用具,受傷部位:顎顔面,0.11351,326,1934,1264,2872,7682
15,受傷機転:転倒,衝突対象:地面,0.109016,237,1982,429,2174,7682
16,原因物:乗り物,受傷部位:顎顔面,0.099708,171,622,1264,1715,7682
17,受傷機転:転落,衝突対象:地面,0.098259,79,454,429,804,7682
18,受傷機転:転倒,受傷部位:歯牙,0.097891,246,1982,777,2513,7682
19,受傷部位:下肢,衝突対象:床,0.095837,99,667,465,1033,7682
20,原因物:スポーツ用具,受傷部位:歯牙,0.095354,236,1934,777,2475,7682
21,傷害結果:脱臼,受傷部位:歯牙,0.093976,78,131,777,830,7682
22,受傷機転:滑走,受傷機転:転倒,0.091663,199,388,1982,2171,7682
23,受傷部位:歯牙,衝突対象:床,0.091388,104,777,465,1138,7682
24,受傷機転:滑走,衝突対象:床,0.090793,71,388,465,782,7682
25,原因物:乗り物,衝突対象:自転車部品,0.088328,56,622,68,634,7682
26,受傷機転:転落,行動:昇降,0.082734,46,454,148,556,7682
27,受傷機転:滑走,受傷部位:上肢,0.081436,93,388,847,1142,7682
28,原因物:乗り物,衝突対象:地面,0.081276,79,622,429,972,7682
29,受傷機転:衝突,受傷部位:顎顔面,0.080257,150,755,1264,1869,7682
30,受傷部位:上肢,衝突対象:地面,0.078614,93,847,429,1183,7682
31,受傷機転:衝突,受傷部位:歯牙,0.078114,111,755,777,1421,7682
32,受傷部位:顎顔面,衝突対象:床,0.07793,125,1264,465,1604,7682
33,受傷部位:顎顔面,衝突対象:地面,0.076972,121,1264,429,1572,7682
34,受傷機転:滑走,受傷機転:転落,0.076726,60,388,454,782,7682
35,原因物:遊具,衝突対象:地面,0.076256,44,192,429,577,7682
36,受傷機転:転落,受傷部位:上肢,0.076096,92,454,847,1209,7682
37,受傷部位:下肢,受傷部位:顎顔面,0.075766,136,667,1264,1795,7682
38,受傷機転:滑走,衝突対象:地面,0.073587,56,388,429,761,7682
39,受傷機転:衝突,受傷機転:転倒,0.073333,187,755,1982,2550,7682
40,傷害結果:脱臼,傷害結果:骨折,0.072165,35,131,389,485,7682
41,原因物:乗り物,受傷部位:歯牙,0.072031,94,622,777,1305,7682
42,受傷部位:顎顔面,行動:移動,0.071074,143,1264,891,2012,7682
43,受傷部位:下肢,行動:移動,0.07079,103,667,891,1455,7682
44,受傷機転:滑走,環境要因:天候,0.070755,30,388,66,424,7682
45,受傷機転:転倒,受傷部位:上肢,0.069565,184,1982,847,2645,7682
46,原因物:乗り物,環境要因:路面,0.069519,52,622,178,748,7682
47,原因物:遊具,行動:乗車,0.068871,25,192,196,363,7682
48,原因物:乗り物,行動:移動,0.067749,96,622,891,1417,7682
49,傷害結果:骨折,受傷機転:転落,0.067089,53,389,454,790,7682
50,受傷機転:転落,受傷部位:下肢,0.065589,69,454,667,1052,7682
51,受傷機転:つまずき,受傷機転:転倒,0.065379,132,169,1982,2019,7682
52,原因物:スポーツ用具,受傷機転:衝突,0.06495,164,1934,755,2525,7682
53,受傷部位:下肢,行動:球技,0.064869,89,667,794,1372,7682
54,受傷部位:下肢,衝突対象:階段,0.064277,52,667,194,809,7682
55,受傷機転:衝突,受傷部位:頭部,0.064151,68,755,373,1060,7682
56,受傷部位:下肢,衝突対象:地面,0.063046,65,667,429,1031,7682
57,受傷機転:滑走,衝突対象:階段,0.062044,34,388,194,548,7682
58,傷害結果:欠損,受傷部位:歯牙,0.061446,51,104,777,830,7682
59,受傷機転:つまずき,衝突対象:階段,0.061404,21,169,194,342,7682
60,原因物:遊具,受傷部位:上肢,0.061287,60,192,847,979,7682
61,受傷機転:転倒,受傷部位:頭部,0.060811,135,1982,373,2220,7682
62,受傷部位:上肢,衝突対象:床,0.060631,75,847,465,1237,7682
63,受傷部位:上肢,受傷部位:顎顔面,0.060271,120,847,1264,1991,7682
64,原因物:乗り物,受傷機転:衝突,0.059231,77,622,755,1300,7682
65,原因物:遊具,行動:昇降,0.05919,19,192,148,321,7682
66,傷害結果:骨折,受傷部位:上肢,0.059126,69,389,847,1167,7682
67,受傷機転:滑走,受傷部位:顎顔面,0.058974,92,388,1264,1560,7682
68,受傷機転:転落,行動:乗車,0.058632,36,454,196,614,7682
69,原因物:乗り物,受傷部位:頭部,0.057386,54,622,373,941,7682
70,受傷機転:転落,衝突対象:階段,0.057096,35,454,194,613,7682
71,受傷部位:顎顔面,行動:球技,0.056468,110,1264,794,1948,7682
72,受傷機転:つまずき,行動:移動,0.055777,56,169,891,1004,7682
73,原因物:スポーツ用具,受傷部位:上肢,0.055408,146,1934,847,2635,7682
74,行動:移動,衝突対象:地面,0.055156,69,891,429,1251,7682
75,受傷機転:滑走,行動:昇降,0.055118,28,388,148,508,7682
76,受傷部位:下肢,受傷部位:歯牙,0.054785,75,667,777,1369,7682
77,受傷部位:歯牙,行動:移動,0.05303,84,777,891,1584,7682
78,受傷機転:切創,行動:移動,0.05291,60,303,891,1134,7682
79,受傷部位:上肢,受傷部位:下肢,0.05212,75,847,667,1439,7682
80,受傷機転:接触,受傷機転:転倒,0.05161,109,239,1982,2112,7682
81,受傷機転:つまずき,環境要因:路面,0.051515,17,169,178,330,7682
82,受傷部位:眼,受傷部位:顎顔面,0.050969,142,1664,1264,2786,7682
83,原因物:遊具,受傷機転:滑走,0.050725,28,192,388,552,7682
84,受傷部位:下肢,行動:昇降,0.050258,39,667,148,776,7682
85,傷害結果:骨折,受傷機転:転倒,0.050044,113,389,1982,2258,7682
