総合順位,解析区分,順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
1,All_統合特徴,1,受傷部位:下肢,足,1.0,667,667,667,667,7682
2,All_統合特徴,2,床,衝突対象:床,1.0,465,465,465,465,7682
3,All_統合特徴,3,地面,衝突対象:地面,1.0,429,429,429,429,7682
4,All_統合特徴,4,傷害結果:骨折,骨折,1.0,389,389,389,389,7682
5,All_統合特徴,5,受傷機転:滑走,滑る,1.0,388,388,388,388,7682
6,All_統合特徴,6,受傷部位:頭部,頭部,1.0,373,373,373,373,7682
7,All_統合特徴,7,切る,受傷機転:切創,1.0,303,303,303,303,7682
8,All_統合特徴,8,受傷機転:接触,接触,1.0,239,239,239,239,7682
9,All_統合特徴,9,乗る,行動:乗車,1.0,196,196,196,196,7682
10,All_統合特徴,10,衝突対象:階段,階段,1.0,194,194,194,194,7682
11,歯牙障害_統合特徴,1,床,衝突対象:床,1.0,189,189,189,189,1583
12,All_統合特徴,11,つまずく,受傷機転:つまずき,1.0,169,169,169,169,7682
13,歯牙障害_統合特徴,2,受傷部位:下肢,足,1.0,142,142,142,142,1583
14,All_統合特徴,12,傷害結果:脱臼,脱臼,1.0,131,131,131,131,7682
15,All_統合特徴,13,壁,衝突対象:壁,1.0,124,124,124,124,7682
16,歯牙障害_統合特徴,3,受傷機転:滑走,滑る,1.0,112,112,112,112,1583
17,All_統合特徴,14,傷害結果:欠損,欠損,1.0,104,104,104,104,7682
18,歯牙障害_統合特徴,4,地面,衝突対象:地面,1.0,101,101,101,101,1583
19,All_統合特徴,15,行動:運動,跳ぶ,1.0,94,94,94,94,7682
20,歯牙障害_統合特徴,5,傷害結果:脱臼,脱臼,1.0,89,89,89,89,1583
21,All_統合特徴,16,傷害結果:裂傷,裂傷,1.0,84,84,84,84,7682
22,All_統合特徴,17,ハンドル,衝突対象:自転車部品,1.0,68,68,68,68,7682
23,歯牙障害_統合特徴,6,受傷機転:接触,接触,1.0,68,68,68,68,1583
24,All_統合特徴,18,受傷機転:挟圧,挟まる,1.0,55,55,55,55,7682
25,歯牙障害_統合特徴,7,傷害結果:欠損,欠損,1.0,55,55,55,55,1583
26,歯牙障害_統合特徴,8,受傷部位:頭部,頭部,1.0,48,48,48,48,1583
27,All_統合特徴,19,柱,衝突対象:柱,1.0,46,46,46,46,7682
28,歯牙障害_統合特徴,9,つまずく,受傷機転:つまずき,1.0,44,44,44,44,1583
29,歯牙障害_統合特徴,10,衝突対象:階段,階段,1.0,43,43,43,43,1583
30,歯牙障害_統合特徴,11,乗る,行動:乗車,1.0,39,39,39,39,1583
